2026-03-25 16:11:58 INFO  BaseTestPortal - successfully otp verified 
2026-03-25 16:13:16 INFO  BaseTestPortal - successfully login
2026-03-25 16:13:16 INFO  BaseTestPortal - ===== Starting OTP Verification =====
2026-03-25 16:13:16 INFO  BaseTestPortal - Waiting for verify button
2026-03-25 16:13:36 INFO  BaseTestPortal - Clicking verify button
2026-03-25 16:15:04 INFO  BaseTestPortal - Waiting for dashboard (book now)
2026-03-25 16:15:04 INFO  BaseTestPortal - successfully otp verified 
2026-03-25 16:20:11 INFO  BaseTestPortal - successfully login
2026-03-25 16:20:11 INFO  BaseTestPortal - ===== Starting OTP Verification =====
2026-03-25 16:20:11 INFO  BaseTestPortal - Waiting for verify button
2026-03-25 16:20:30 INFO  BaseTestPortal - Clicking verify button
2026-03-25 16:22:07 INFO  BaseTestPortal - Waiting for dashboard (book now)
2026-03-25 16:22:07 INFO  BaseTestPortal - successfully otp verified 
2026-03-25 16:29:21 INFO  BaseTestPortal - successfully login
2026-03-25 16:29:21 INFO  BaseTestPortal - ===== Starting OTP Verification =====
2026-03-25 16:29:21 INFO  BaseTestPortal - Waiting for verify button
2026-03-25 16:29:43 INFO  BaseTestPortal - Clicking verify button
2026-03-25 16:31:42 INFO  BaseTestPortal - Waiting for dashboard (book now)
2026-03-25 16:31:42 INFO  BaseTestPortal - successfully otp verified 
2026-03-25 17:39:13 INFO  BaseTestPortal - successfully login
2026-03-25 17:39:13 INFO  BaseTestPortal - ===== Starting OTP Verification =====
2026-03-25 17:39:13 INFO  BaseTestPortal - Waiting for verify button
2026-03-25 17:39:39 INFO  BaseTestPortal - Clicking verify button
2026-03-25 17:42:00 INFO  BaseTestPortal - Waiting for dashboard (book now)
2026-03-25 17:42:00 INFO  BaseTestPortal - successfully otp verified 
2026-03-25 17:47:36 INFO  BaseTestPortal - successfully login
2026-03-25 17:47:36 INFO  BaseTestPortal - ===== Starting OTP Verification =====
2026-03-25 17:47:36 INFO  BaseTestPortal - Waiting for verify button
2026-03-25 17:48:25 INFO  BaseTestPortal - Clicking verify button
2026-03-25 17:53:59 INFO  BaseTestPortal - successfully login
2026-03-25 17:53:59 INFO  BaseTestPortal - ===== Starting OTP Verification =====
2026-03-25 17:53:59 INFO  BaseTestPortal - Waiting for verify button
2026-03-25 17:54:18 INFO  BaseTestPortal - Clicking verify button
2026-03-25 17:55:49 INFO  BaseTestPortal - Waiting for dashboard (book now)
2026-03-25 17:55:49 INFO  BaseTestPortal - successfully otp verified 
2026-03-25 17:57:43 INFO  BaseTestPortal - successfully login
2026-03-25 17:57:43 INFO  BaseTestPortal - ===== Starting OTP Verification =====
2026-03-25 17:57:43 INFO  BaseTestPortal - Waiting for verify button
2026-03-25 17:58:07 INFO  BaseTestPortal - Clicking verify button
2026-03-25 18:00:04 INFO  BaseTestPortal - Waiting for dashboard (book now)
2026-03-25 18:00:04 INFO  BaseTestPortal - successfully otp verified 
2026-03-25 18:04:37 INFO  BaseTestPortal - successfully login
2026-03-25 18:04:37 INFO  BaseTestPortal - ===== Starting OTP Verification =====
2026-03-25 18:04:37 INFO  BaseTestPortal - Waiting for verify button
2026-03-25 18:04:57 INFO  BaseTestPortal - Clicking verify button
2026-03-25 18:06:34 INFO  BaseTestPortal - Waiting for dashboard (book now)
2026-03-25 18:06:34 INFO  BaseTestPortal - successfully otp verified 
2026-03-25 18:10:23 INFO  BaseTestPortal - successfully login
2026-03-25 18:10:23 INFO  BaseTestPortal - ===== Starting OTP Verification =====
2026-03-25 18:10:23 INFO  BaseTestPortal - Waiting for verify button
2026-03-25 18:10:42 INFO  BaseTestPortal - Clicking verify button
2026-03-25 18:12:19 INFO  BaseTestPortal - Waiting for dashboard (book now)
2026-03-25 18:12:19 INFO  BaseTestPortal - successfully otp verified 
2026-03-25 18:14:20 INFO  BaseTestPortal - successfully login
2026-03-25 18:14:20 INFO  BaseTestPortal - ===== Starting OTP Verification =====
2026-03-25 18:14:20 INFO  BaseTestPortal - Waiting for verify button
2026-03-25 18:14:46 INFO  BaseTestPortal - Clicking verify button
2026-03-25 18:16:59 INFO  BaseTestPortal - Waiting for dashboard (book now)
2026-03-25 18:16:59 INFO  BaseTestPortal - successfully otp verified 
2026-03-25 18:20:01 INFO  BaseTestPortal - successfully login
2026-03-25 18:20:01 INFO  BaseTestPortal - ===== Starting OTP Verification =====
2026-03-25 18:20:01 INFO  BaseTestPortal - Waiting for verify button
2026-03-25 18:20:28 INFO  BaseTestPortal - Clicking verify button
2026-03-25 18:22:39 INFO  BaseTestPortal - Waiting for dashboard (book now)
2026-03-25 18:22:39 INFO  BaseTestPortal - successfully otp verified 
2026-03-25 18:25:31 INFO  BaseTestPortal - based on rank college filtered successfully
2026-03-25 18:27:27 INFO  BaseTestPortal - chaeck the news and renk also
2026-03-25 18:54:21 INFO  BaseTestPortal - successfully login
2026-03-25 18:54:21 INFO  BaseTestPortal - ===== Starting OTP Verification =====
2026-03-25 18:54:21 INFO  BaseTestPortal - Waiting for verify button
2026-03-25 18:54:41 INFO  BaseTestPortal - Clicking verify button
2026-03-25 18:56:15 INFO  BaseTestPortal - Waiting for dashboard (book now)
2026-03-25 18:56:15 INFO  BaseTestPortal - successfully otp verified 
2026-03-25 18:58:02 INFO  BaseTestPortal - based on rank college filtered successfully
2026-03-25 18:58:57 INFO  BaseTestPortal - chaeck the news and renk also
2026-03-26 10:08:06 INFO  BaseTestPortal - successfully login
2026-03-26 10:08:06 INFO  BaseTestPortal - ===== Starting OTP Verification =====
2026-03-26 10:08:06 INFO  BaseTestPortal - Waiting for verify button
2026-03-26 10:08:25 INFO  BaseTestPortal - Clicking verify button
2026-03-26 10:09:25 INFO  BaseTestPortal - successfully login
2026-03-26 10:09:26 INFO  BaseTestPortal - ===== Starting OTP Verification =====
2026-03-26 10:09:26 INFO  BaseTestPortal - Waiting for verify button
2026-03-26 10:09:44 INFO  BaseTestPortal - Clicking verify button
2026-03-26 10:44:48 INFO  BaseTestPortal - successfully login
2026-03-26 10:44:48 INFO  BaseTestPortal - ===== Starting OTP Verification =====
2026-03-26 10:44:48 INFO  BaseTestPortal - Waiting for verify button
2026-03-26 10:45:07 INFO  BaseTestPortal - Clicking verify button
2026-03-26 10:46:36 INFO  BaseTestPortal - Waiting for dashboard (book now)
2026-03-26 10:46:36 INFO  BaseTestPortal - successfully otp verified 
2026-03-26 10:48:29 INFO  BaseTestPortal - based on rank college filtered successfully
2026-03-26 10:54:47 INFO  BaseTestPortal - successfully login
2026-03-26 10:54:47 INFO  BaseTestPortal - ===== Starting OTP Verification =====
